도서관 일련번호,도서관명,구 코드,구명,주소,정기 휴관일,전화번호
1069,조원도서관,5,관악구,서울특별시 관악구 조원로12길 25,매주 월요일 및 법정 공휴일,02-851-5571-2
257,중앙동새싹작은도서관,5,관악구,서울특별시 관악구 양녕로6다길 7 중앙동주민센터 1층 ,"토,일요일",02-875-9513
2444,책 N 꿈 도서관,5,관악구,서울특별시 관악구 남부순환로1989,월요일,
230,책쉼터,5,관악구,서울특별시 관악구 낙성대로3길 37 관악구민종합체육센터 2층 223-9 2층,"토,일요일",02-879-5712
229,책이랑놀이랑도서관,5,관악구,서울특별시 관악구 행운1길 12 신창문화복지센터 2층 1675-12 신창문화복지센터 2층 ,매주 화요일,02-878-0955
260,청룡동숯고을작은도서관,5,관악구,서울특별시 관악구 쑥고개로 44 청룡동주민센터 2층 ,"토,일요일",02-876-4083
258,청림동푸른숲작은도서관,5,관악구,서울특별시 관악구 관악로 40길 39 청림동주민센터 3층 ,"토,일요일",02-876-4090
2725,푸른나무작은도서관,5,관악구,서울특별시 관악구 남부순환로 1978-1 지하,공휴일,
2445,푸른들작은도서관,5,관악구,서울시 관악구 청림2길16 1층,월요일,
252,한울타리도서관,5,관악구,서울특별시 관악구 인헌12길 46-2 은천아파트,"목요일, 금요일",02-871-2632
259,행운동마루작은도서관,5,관악구,서울특별시 관악구 행운1길 43 행운동주민센터 2층 ,"토,일요일",02-876-3434
62,금천구립가산도서관,6,금천구,서울특별시 금천구 가산로5길 43,"매월 두번째, 네번째 월요일 및 법정 공휴일",02-865-6817~9
101,금천구립금나래도서관,6,금천구,서울특별시 금천구 시흥대로73길 70,매월 마지막주 일요일 및 법정 공휴일,02-2627-2992
42,금천구립독산도서관,6,금천구,서울특별시 금천구 독산로54길 114,"매월 첫번째,세번째 월요일 및 법정 공휴일",02-863-9544
1379,금천구립시흥도서관,6,금천구,서울특별시 금천구 금하로 764(시흥동) 금천종합복지타운(시흥2동주민센터),"매월 첫번째,세번째 금요일 및 법정 공휴일",02-809-8242
2154,길빛작은도서관,6,금천구,서울특별시 금천구 독산로 16 (시흥동) 새부대교회,"일요일,법정공휴일",02-6448-4162
339,꿈꾸는작은도서관,6,금천구,서울특별시 금천구 시흥대로12길 10-5(시흥동) 남부도로사업소 동네방네 마을이음센터 2층,"일, 법정공휴일",02-2104-5688
336,꿈씨어린이작은도서관,6,금천구,서울특별시 금천구 독산로 232 독산4동주민센터 2층,"일, 법정공휴일",02-2104-5625
345,나누리작은도서관,6,금천구,"서울특별시 은평구 진관1로 55, (진관동, 은평뉴타운 마고정) 301호","토, 일요일, 법정공휴일",
340,도란도란작은도서관,6,금천구,서울특별시 노원구 동일로 186길 3-24 공릉1동주민센터 ,"주말, 법정공휴일",02-2116-2495
2025,롯데캐슬1차작은도서관,6,금천구,서울특별시 금천구 벚꽃로40 ,"일, 법정공휴일",070-4405-8780
2664,마루한작은도서관,6,금천구,서울특별시 금천구 금하로 679 202호,,
337,맑은누리작은도서관,6,금천구,"서울특별시 금천구 시흥대로58길 36, 시흥1동주민센터 5층 ","주말, 법정공휴일",02-2104-5649
334,미래향기작은도서관,6,금천구,"서울특별시 금천구 독산로179, 독산2동주민센터 1층 ","일, 법정공휴일",02-2104-5584
346,산돌어린이도서관,6,금천구,"서울특별시 금천구 시흥대로75길 12, 산돌문화센터 2층 ","월, 법정공휴일",02-808-7902
2155,샘솟는작은도서관,6,금천구,서울특별시 금천구 독산로64길 15 (독산동) 샘솟는화평교회 ,"토,일,법정공휴일",02-854-0500
1869,소망의나무어린이작은도서관,6,금천구,서울특별시 금천구 금하로 11길 14 시흥장로교회,법정공휴일,02-804-9596
2463,와서작은도서관,6,금천구,서울특별시 벚꽃로56길 62 B01,"토,일,법정공휴일",02-859-2414
2156,우리울작은도서관,6,금천구,서울특별시 금천구 범안로12가길 49 (독산동) 샘물교회 2층 ,"일, 법정공휴일",070-7573-3321
342,은행나무어린이도서관,6,금천구,서울특별시 금천구 탑골로 43-8 1층,"월, 법정공휴일",02-892-7894
343,지혜의숲작은도서관,6,금천구,서울특별시 서초구 청계산로7길 43 서초포레스타5단지 503동 2층,매주 일요일,070-7763-2811
1300,참새작은도서관,6,금천구,서울특별시 금천구 한내로 69-15 (주공13단지아파트) 금천한내종합복지관 3층,"일, 법정공휴일",02-895-8240
2464,책달샘숲속작은도서관,6,금천구,서울특별시 금천구 독산동 373 감로천생태공원 내 ,"일,월 법정공휴일",02-2104-5733
1515,책이든거리작은도서관,6,금천구,서울특별시 금천구 범안로 1130 독산역2번출구앞 ,"주말, 법정공휴일",02-853-3327
348,책읽는마을작은도서관,6,금천구,서울특별시 금천구 독산로74길 31 1층,"주말, 법정공휴일",02-858-9919
341,책읽는주민사랑방작은도서관,6,금천구,"서울특별시 금천구 금하로21길 20, 시흥5동주민센터 2층 ","일, 법정공휴일",02-2104-5729
1298,청개구리작은도서관,6,금천구,"서울특별시 금천구 독산로 317, 독산3동주민센터 3층 ","일, 법정공휴일",02-857-4183
2039,트리니티작은도서관,6,금천구,"서울특별시 금천구 시흥대로 72길 13, 시흥중앙성결교회 1층 ",법정공휴일,02-802-5390
1712,한국대학교육협의회문헌정보실,6,금천구,서울특별시 금천구 서부샛길 606 대성디폴리스 A동 22~23층,"토요일, 일요일, 법정공휴일",02-6919-3902
333,해오름작은도서관,6,금천구,"서울특별시 금천구 시흥대로123길 11, 독산1동 주민센터 4층","일, 법정공휴일",02-2104-5569
2490,IT로 열린도서관,7,서초구,"서울특별시 서초구 방배로 36, 이삭빌딩 301호","토,일,공휴일",02-3471-3434
1745,KOTRA무역자료실,7,서초구,서울특별시 서초구 헌릉로 13 KOTRA 본사 3층,"토요일, 일요일, 공휴일","02-3460-7404, 7407(1호) 02-3460-7408, 7405(2호)"
1539,LH서초3단지행복도서관,7,서초구,"서울특별시 서초구 양재대로 2길 34 우면동, LH서초 3단지 아파트 ","토요일,일요일",
1540,LH서초4단지작은도서관,7,서초구,"서울특별시 서초구 양재대로2길 33 우면동, LH서초 4단지 아파트 ","토요일,일요일",
1635,LH서초5단지작은도서관,7,서초구,서울특별시 서초구 양재대로2길 11 LH서초5단지 작은도서관,"토요일,일요일",
1735,국립국악원국악자료실,7,서초구,서울특별시 서초구 남부순환로 2364 국립국악원 국악박물관 306호,"토요일, 일요일, 법정공휴일",02-580-3081
1736,국립외교원도서관,7,서초구,서울특별시 서초구 남부순환로 2572,"토요일, 일요일, 법정공휴일",02-3497-7664
1,국립중앙도서관,7,서초구,서울특별시 서초구 반포대로 201,"둘째,넷째 월요일/법정공휴일(일요일제외)",02-535-4142
2492,꿈 익는 작은도서관,7,서초구,서울특별시 서초구 남부순환로 2271-5 소비코빌딩 B2F,"토, 일, 공휴일",02-583-2156
1531,너나울도서관,7,서초구,서울특별시 서초구 양재대로 2길 90 엘에이치스타힐스 서초힐스아파트,"토요일,일요일",070-7014-0773
2493,네이처힐1단지 작은도서관,7,서초구,"서울특별시 서초구 형촌길 35, (우면동, 서초네이처힐1단지) 경로당 옆","토, 일, 공휴일",
1532,네이처힐3단지작은도서관(꿈찾는도서관),7,서초구,서울특별시 서초구 태봉로2길 60 서초네이처힐 3단지 305동 1층,일요일,070-8615-8387
1533,네이처힐4단지작은도서관,7,서초구,서울특별시 서초구 태봉로 2길 5 서초네이처힐4단지 404동 1층 ,"토요일,일요일",02-577-5587
1318,네이처힐5단지작은도서관,7,서초구,서울특별시 서초구 태봉로2길 65 서초네이처힐 508동 1층,"토,일요일",02-577-6617
1534,네이처힐6단지작은도서관,7,서초구,서울특별시 서초구 태봉로 2길 30 서초네이처힐6단지 아파트 ,일요일,
1535,네이처힐가든작은도서관,7,서초구,서울특별시 서초구 형촌길 60 네이처힐가든 아파트,"토요일,일요일",
1744,대검찰청검찰중앙도서실,7,서초구,서울특별시 서초구 반포대로 157 대검찰청 본관 4층,"토요일, 일요일, 법정공휴일",02-3480-2516
1733,대한민국예술원도서실,7,서초구,서울특별시 서초구 반포대로37길 59,"토요일, 일요일, 법정공휴일",02-3479-7233
1906,대한민국학술원도서실,7,서초구,"서울특별시 서초구 반포대로37길 59, 3층","토요일, 일요일, 법정공휴일",02-3400-5255
1536,리본SH작은도서관,7,서초구,서울특별시 서초구 바우뫼로 18길 20 양재리본타워1단지 아파트 ,"토요일,일요일",070-8100-2180
1566,리본숲SH작은도서관,7,서초구,서울특별시 서초구 양재동 매헌로 16길 40 양재리본타워2단지 관리동2층,매주 일요일,070-8108-5003
523,반포1동작은도서관,7,서초구,서울특별시 서초구 사평대로 273(반포동) 반포1동 주민센터 3층,"토, 일, 공휴일",02-2155-7615
524,반포2동작은도서관,7,서초구,서울특별시 서초구 신반포로15길 16 반포2동주민센터 2층,"토, 일, 공휴일",02-2155-7635
525,반포3동작은도서관,7,서초구,서울특별시 서초구 신반포로23길 78 반포3동주민센터 4층,토.일.공휴일,02-2155-7670
526,반포4동작은도서관,7,서초구,서울특별시 서초구 사평대로28길 70 반포4동주민센터 4층,"토, 일, 공휴일",02-2155-7687
2753,반포별빛 작은도서관,7,서초구,서울특별시 서초구 사평대로 310-4,,
522,반포본동작은도서관,7,서초구,서울특별시 서초구 신반포로 10 반포본동주민센터 2층,휴관중,02-2155-7577
2682,방배 은혜 작은도서관,7,서초구,서울특별시 서초구 방배로 4길 10-18,"토, 일, 공휴일",
528,방배1동작은도서관,7,서초구,서울특별시 서초구 효령로29길 43 방배1동주민센터 2층,"토,일,공휴일",02-2155-7765
529,방배2동작은도서관,7,서초구,서울특별시 서초구 청두곶길 36 방배2동주민센터 2층,"토, 일, 공휴일",02-2155-7773
531,방배4동작은도서관,7,서초구,서울특별시 서초구 방배로 173 방배4동주민센터 3층,"토, 일, 공휴일",02-2155-7853
1985,방배도서관,7,서초구,서울특별시 서초구 방배로 40,"매주 월요일, 법정 공휴일, 임시 공휴일",02-3471-3993
527,방배본동작은도서관,7,서초구,서울특별시 서초구 동광로 19길 38 방배본동주민센터 2층,"토, 일, 공휴일",02-2155-7734
1748,삼성경제연구소도서자료실,7,서초구,"서울특별시 서초구 서초대로74길 4, 삼성생명 서초타워 30층","토요일, 일요일, 법정공휴일",02-3780-8126
1747,서울시교육연수원교육정보자료실,7,서초구,서울특별시 서초구 남부순환로 2248,"토요일, 일요일, 법정공휴일",02-3019-8055
1739,서울연구원도서관,7,서초구,서울특별시 서초구 남부순환로340길 57,"토요일, 국경일, 공휴일, 연구원 개원기념일(10월 1일)",02-2149-1024
1734,서울인재개발원도서실,7,서초구,서울특별시 서초구 남부순환로340길 58,"토요일, 일요일, 법정공휴일",02-3488-2024
1731,서울지방변호사회도서관,7,서초구,서울특별시 서초구 법원로1길 21 변호사회관 내,"토요일, 일요일, 법정공휴일",02-6200-6262
1986,서이도서관,7,서초구,서울특별시 서초구 서초대로70길 51,"매주 월요일, 법정 공휴일, 임시 공휴일",02-3471-1337
517,서초1동작은도서관,7,서초구,서울특별시 서초구 사임당로 89 서초1동주민센터 2층,"토, 일, 공휴일",02-2155-7418
519,서초3동작은도서관,7,서초구,서울특별시 서초구 반포대로58 서초아트자이 1-2층,"토, 일, 공휴일",02-3472-7462
520,서초4동작은도서관,7,서초구,서울특별시 서초구 서운로26길 3 서초4동주민센터 2층,"토, 일, 공휴일",02-2155-7497
1984,서초구립내곡도서관,7,서초구,서울특별시 서초구 청계산로7길 9-20,"매주 월요일, 법정 공휴일, 임시 공휴일",02-3461-3007
2494,서초구립반포도서관,7,서초구,서울특별시 서초구 고무래로 34,"매주 월요일, 법정 공휴일, 임시 공휴일",02-520-8700
2497,서초구립양재도서관,7,서초구,서울특별시 서초구 양재천로 33,"매주 금요일, 법정 공휴일, 임시 공휴일",02-3486-4050
2491,서초그림책도서관,7,서초구,서울특별시 서초구 명달로 150,"매주 월요일, 법정 공휴일, 임시 공휴일",02-3471-0995
2495,서초글벗 작은도서관,7,서초구,서울특별시 서초구 방배천로 2안길 39 서초영락교회 지하1층,"토, 일, 공휴일",
1637,서초더샵포레작은도서관,7,서초구,"서울특별시 서초구 헌릉로8길 58 서초더샵포레 작은도서관 1,2관",법정공휴일,02-529-7808
2702,서초청소년도서관,7,서초구,서울특별시 서초구 효령로77길 37,"매주 화요일, 법정 공휴일, 임시 공휴일",02-3486-9543
1638,서초포레스타3단지작은도서관,7,서초구,"서울특별시 서초구 헌릉로8길 22 신원동, 서초포레스타3단지","토요일, 일요일",070-8159-2809
1887,서초포레스타6단지작은도서관,7,서초구,서울특별시 서초구 청계산로9길 1-12 611동 1층,"토, 일, 공휴일",
1886,서초포레스타7단지풍경이있는작은도서관,7,서초구,서울특별시 서초구 청계산로11길 7-12 703동 지하1층,"토, 일, 공휴일",02-529-7654
536,수송작은도서관,7,서초구,서울특별시 서초구 신반포로41길 17 수송교회 지하1층,토요일,02-543-7532
2496,시온교회 작은도서관,7,서초구,서울특별시 서초구 서초대로 84 시온교회 1층,월요일,
1639,씨넷도서관,7,서초구,서울특별시 서초구 남부순환로 333길 36 해원빌딩 지하1층,"월, 목, 토",
2752,씨드 작은도서관,7,서초구,서울특별시 서초구 바우뫼로7길 16 (우면동 66-1) 대화프라자 704호,,
2735,양재 너구리 도서관,7,서초구,서울특별시 서초구 논현로 27길 58 2층,"토, 일, 공휴일",02-6409-2018
532,양재1동작은도서관,7,서초구,서울특별시 서초구 바우뫼로 41 양재1동우면주민센터 2층,"토, 일, 공휴일",02-2155-7895
533,양재2동작은도서관,7,서초구,서울특별시 서초구 마방로6길 7-40 1층,"토, 일, 공휴일",02-2155-7906
2498,언남돌봄 작은도서관,7,서초구,서울특별시 서초구 강남대로 10길 65 3층,"일, 공휴일",
2499,에코리치작은도서관,7,서초구,서울특별시 서초구 양재대로2길 109 103동 지하1층,휴관중,02-2058-1820
1317,우면SH작은도서관,7,서초구,서울특별시 서초구 형촌길 15 (네이처힐2단지) ,휴관중,02-575-1433
2683,작은 새들의 합챵 작은도서관,7,서초구,서울특별시 서초구 서초대로 34가길 52,,
2141,잠원도서관,7,서초구,서울특별시 서초구 나루터로 38,"매주 월요일, 법정 공휴일, 임시 공휴일",02-3477-8655
521,잠원도서관,7,서초구,서울특별시 서초구 나루터로 38,"매주 월요일, 법정 공휴일, 임시 공휴일",02-3477-8655
1737,재외동포재단자료실,7,서초구,서울특별시 서초구 남부순환로 2558 외교센터 1층,"법정공휴일, 토요일, 근로자의 날, 정기휴관일",02-3415-0189
1641,지혜의숲작은도서관,7,서초구,서울특별시 서초구 청계산로7길 43 서초포레스타5단지,매주 일요일,070-7763-2811
1740,통일부북한자료센터,7,서초구,서울특별시 서초구 반포대로 201 국립중앙도서관 5층 통일부 북한자료센터,"토요일, 일요일, 법정공휴일",02-730-6658
1751,통일연구원자료실,7,서초구,서울특별시 서초구 반포대로 217 통일연구원,"토요일, 일요일, 법정공휴일",02-2023-8209
1888,포레스타2단지숲속별작은도서관,7,서초구,서울특별시 서초구 헌릉로8길 45 212동 지하1층,"일, 공휴일",070-8107-0909
2500,하늘샘 작은도서관,7,서초구,서울특별시 서초구 헌릉로8길 10-12 1층 8호,"월, 일, 공휴일",070-7701-8383
1738,한국과학기술기획평가원정보자료실,7,서초구,서울특별시 서초구 마방로 68 동원산업빌딩 9층,"토요일, 일요일, 법정공휴일",02-589-2269
1732,한국교과서연구재단교과서정보관,7,서초구,"서울특별시 서초구 강남대로 547, 4층","토요일, 일요일, 법정공휴일",02-2651-1953
1831,한국도서관협회도서관,7,서초구,서울특별시 서초구 반포대로 201,"토요일, 일요일, 법정공휴일",02-535-4481
1743,한국문화위원회예술자료원,7,서초구,서울특별시 서초구 남부순환로 2406 예술의전당 디자인미술관 2~3층,"일요일, 법정공휴일, 매월 마지막주 월요일",02-760-4750
1742,한국부동산연구원부동산정보센터,7,서초구,서울특별시 서초구 강남대로 587 kcc빌딩 9층,"토요일, 일요일, 법정공휴일",02-520-5073
1750,한국세무사회조세도서관,7,서초구,서울특별시 서초구 명달로 105 4층,"토요일, 일요일, 법정공휴일",02-587-6021
1749,한국자동차산업협회도서관,7,서초구,서울특별시 서초구 반포대로 25 자동차회관 5층 자료실,"토요일, 일요일, 법정공휴일",02-3660-1800
1741,한국형사정책연구원도서실,7,서초구,서울특별시 서초구 태봉로 114,"토요일, 일요일, 법정공휴일",02-3460-5135
1907,현대자동차그룹도서관,7,서초구,서울특별시 서초구 헌릉로 12,"토요일, 일요일, 법정공휴일",02-3464-2845
2413,BIBLIOTECA,8,강남구,서울특별시 강남구 도산대로 25길 15-4 1층,휴관중,
1571,LH강남3단지작은도서관,8,강남구,서울특별시 강남구 자곡로3길 22 ,휴관중,02-459-8700
1848,休+밤토리SH작은도서관,8,강남구,"서울특별시 강남구 밤고개로26길 50(율현동, 강남한신휴플러스6단지)","매주 월요일, 토요일",02-2226-7942
1935,강남구립못골도서관,8,강남구,서울특별시 강남구 자곡로 116,매주 화요일 및 법정공휴일,02-459-5522
2771,강남데시앙파크작은도서관,8,강남구,서울특별시 강남구 헌릉로590길 63 데시앙파크도서관,휴관중,02-451-7070
1066,강남역삼푸른솔도서관,8,강남구,서울특별시 강남구 테헤란로8길 36. 4층,매주 화요일 및 법정 공휴일,02-2051-1178
1845,강남한신휴플러스8단지작은도서관,8,강남구,"서울특별시 강남구 밤고개로27길 20(율현동, 강남한신휴플러스8단지) ",휴관중,02-445-9831
1572,강남한양수자인작은씨앗도서관,8,강남구,서울특별시 강남구 자곡로 260,"토,일요일, 법정공휴일",
114,개포4동작은도서관,8,강남구,서울특별시 강남구 개포로38길 12 개포4동주민센터 ,"토,일요일, 법정공휴일",02-3423-7884
3,국립어린이청소년도서관,8,강남구,서울특별시 강남구 테헤란로7길 21,"매월 둘째넷째 월요일, 일요일을 제외한 공휴일",02-3413-4800
1573,꿈꾸는작은도서관,8,강남구,서울특별시 강남구 자곡로3길 21 ,일요일,02-445-0955
1574,꿈밭작은도서관,8,강남구,서울특별시 강남구 자곡로 204-19 2층,,02-3462-9962
2145,남서울중앙교회작은도서관,8,강남구,서울특별시 강남구 삼성로 40(개포동) 1층,,02-3411-9191
48,논현도서관,8,강남구,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,매주 화요일 및 법정공휴일,02-3443-7650
50,논현정보도서관,8,강남구,서울특별시 강남구 학동로 169 3층,"일요일, 법정공휴일",02-511-7466
1542,다움영어도서관,8,강남구,서울특별시 강남구 개포로 124길 7 다움영어 작은도서관,"토,일요일, 법정공휴일",02-445-0714
1259,대치1동작은도서관,8,강남구,서울특별시 강남구 남부순환로 391길 19 대치1문화센터 지하1층,"매주 월요일, 법정공휴일",02-3452-1170
49,대치도서관,8,강남구,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,매주 화요일 및 법정공휴일,02-565-6666
1545,데시앙숲속작은도서관,8,강남구,서울특별시 강남구 광평로 34길 55 강남데시앙포레아파트,"주말, 법정공휴일",02-445-4301
116,도곡2동작은도서관,8,강남구,서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터 ,"토,일요일, 법정공휴일",02-3423-7584
1402,도곡정보문화도서관,8,강남구,서울특별시 강남구 도곡로18길 57,매주 월요일 및 법정공휴일,1644-3227
1575,래미안포레작은도서관,8,강남구,서울특별시 강남구 밤고개로 21길 25 ,"일요일, 법정공휴일",02-3414-0919
2146,루디아영어어린이도서관,8,강남구,"서울특별시 강남구 헌릉로 569, 802호(세곡동) 강남리더스빌딩 802호",휴관중,070-7092-8315  
2133,못골한옥어린이도서관,8,강남구,서울특별시 강남구 자곡로7길 3?,매주 월요일 및 법정공휴일,02-2226-5930
1576,브리즈힐도서관,8,강남구,서울특별시 강남구 자곡로 3길 45,휴관중,02-445-3062
2415,사피엔스 작은도서관,8,강남구,서울특별시 강남구 삼성로 720 청담동천주교회,월요일,02-3447-0750
1543,삼성도서관,8,강남구,서울특별시 강남구 봉은사로 616 삼성1동주민센터 동관 4층,"매주 화요일, 법정공휴일",02-568-9984
1697,삼성서울병원의학정보센터,8,강남구,서울특별시 강남구 일원로 81 삼성서울병원 별관 지하 3층,"일요일, 법정공휴일",02-3410-3939
21,서울특별시교육청강남도서관,8,강남구,서울특별시 강남구 선릉로116길 45,"1,3주 수요일 및 법정공휴일",02-3448-4741~5
22,서울특별시교육청개포도서관,8,강남구,서울특별시 강남구 선릉로4길 30,"2,4주 목요일 및 법정공휴일",02-3460-8200
1256,세곡도서관,8,강남구,서울특별시 강남구 밤고개로 286 세곡동주민센터,"매주 월요일, 법정공휴일",02-445-0297
2417,세곡리엔파크1단지아파트 SH도서관,8,강남구,"서울특별시 강남구 헌릉로 590길 100, 관리동2층(세곡동) ",휴관중,02-445-9441
2650,세곡마루도서관,8,강남구,서울특별시 강남구 헌릉로 590길 68 세곡커뮤니티센터 2층,일요일 및 법정공휴일,02-2176-0634
121,수서동작은도서관,8,강남구,서울특별시 강남구 광평로 301-4 수서동주민센터 ,"토,일요일, 법정공휴일",02-3423-8584
2772,숲도서관,8,강남구,서울특별시 강남구 개포로264,주말,02-2058-0929
119,신사동작은도서관,8,강남구,서울특별시 강남구 압구정로 128 신사동주민센터 ,"토,일요일, 법정공휴일",02-3423-7334
1578,아름다운도서관,8,강남구,서울특별시 강남구 삼성로70길 4 지하1층,"일요일, 법정공휴일",070-5135-1385
120,압구정동작은도서관,8,강남구,서울특별시 강남구 압구정로33길 48 압구정동주민센터,"토,일요일, 법정공휴일",02-3423-7634
117,역삼2동작은도서관,8,강남구,서울특별시 강남구 언주로 314 강남프라자 2층,"일요일, 법정공휴일",02-567-0930
81,역삼도서관,8,강남구,"서울특별시 강남구 역삼로7길 16, 5층",매주 월요일 및 법정 공휴일,02-508-1139
2717,열린도서관,8,강남구,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,매주 월요일 및 법정공휴일,02-3412-3970
2649,영롱 농문화 도서관,8,강남구,서울특별시 강남구 양재대로 55길 6(일원동) 수서1단지 아파트 상가 204호,,
1580,이편한세상도서관,8,강남구,서울특별시 강남구 헌릉로 571길 20 ,휴관중,02-3411-9245
1570,일원1동작은도서관,8,강남구,서울특별시 강남구 양재대로55길 14 일원1동 주민센터,"토,일요일, 법정공휴일",02-3423-8384
2760,일원라온영어도서관,8,강남구,서울특별시 강남구 영동대로 22 B1(일원동 743),매주 월요일 및 법정공휴일,02-6712-0595
118,일원본동작은도서관,8,강남구,서울특별시 강남구 광평로 126 일원본동주민센터 ,"토,일요일, 법정공휴일",02-3423-8284
2773,작은서관,8,강남구,서울특별시 강남구 영동대로 22 디에이치자이개포생활지원센터,주말,
52,정다운도서관,8,강남구,서울특별시 강남구 학동로67길 11 3층,매주 화요일 및 법정공휴일,02-512-9326
51,즐거운도서관,8,강남구,서울특별시 강남구 도곡로77길 23 4층,매주 월요일 및 법정공휴일,02-565-7533
47,청담도서관,8,강남구,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,매주 월요일 및 법정공휴일,02-540-7042
1694,통계청나라셈도서관,8,강남구,서울특별시 강남구 언주로 721(논현동) 서울세관 별관 4층,"토요일, 일요일, 법정공휴일",02-3438-8502
1544,푸르지오책사랑,8,강남구,서울특별시 강남구 자곡로 21 세곡LH푸르지오 아파트,"주말, 법정공휴일",070-8766-4219
2419,피치서가,8,강남구,서울특별시 강남구 논현로 168길 39 2층,"주말, 법정공휴일",02-3789-0419
74,하상시각장애인도서관,8,강남구,서울특별시 강남구 개포로 613 하상장애인복지회관,"일요일, 공휴일",02-451-6000
2420,하음작은도서관,8,강남구,서울특별시 강남구 개포로25길 5 B1,,02-577-4874
1700,한국고등교육재단정보자료실,8,강남구,서울특별시 강남구 테헤란로 211 한국고등교육재단 지하3층,"주말, 공휴일",02-554-3512
1695,한국관세무역개발원자료실,8,강남구,서울특별시 강남구 언주로 735 관우빌딩 6층,"토요일, 일요일, 법정공휴일",02-3416-5112
1699,한국무역협회정보자료실,8,강남구,서울특별시 강남구 영동대로 511 무역센터 트레이드타워 603호,"토요일, 일요일, 법정공휴일",02-6000-5109
1696,한국문학번역원번역전문도서관,8,강남구,서울특별시 강남구 영동대로112길 32,"토요일,일요일, 법정공휴일",02-6919-7755
104,한국지식재산연구원지식재산전문도서관,8,강남구,"서울특별시 강남구 테헤란로 131, 한국지식재산센터 3층",공휴일,02-2189-2681~2
53,행복한도서관,8,강남구,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),매주 화요일 및 법정공휴일,02-567-3833
2421,힐즈도서관,8,강남구,서울특별시 강남구 자곡로 101 강남힐즈아파트,,02-3414-0400
2512,Book積북적도서관,9,송파구,서울특별시 송파구 가락로 245 진성빌딩 2층 와이즈더샵상가 Y210호,"일요일, 법정공휴일",070-4670-6589
1760,KOBACO광고도서관,9,송파구,서울특별시 송파구 올림픽로35길 137 한국광고문화회관 4층,"토요일, 일요일, 법정공휴일",02-2144-0182
2054,THEBRIDGE작은도서관,9,송파구,서울특별시 송파구 동남로24길 11 2층,"토,일",070-4459-8829
2514,가락2동새마을문고(로즈마리작은도서관),9,송파구,서울특별시 송파구 중대로20길 6 가락2동주민센터 1층 ,"토,일,법정공휴일",02-431-4446
1844,가락몰도서관,9,송파구,서울특별시 송파구 양재대로 932 서울시농수산식품공사 가락몰 업무동 4층,매주 월요일 및 법정공휴일,"02-3435-0950, 0956"
2515,가락본동새마을문고(글향기작은도서관),9,송파구,서울특별시 송파구 송파대로28길 39 가락본동주민센터 1층 ,"토,일,법정공휴일",02-448-9116
54,거마도서관,9,송파구,서울특별시 송파구 거마로2길19,매주 월요일 및 법정공휴일,02-449-2332
625,거여1동새마을문고,9,송파구,서울특별시 송파구 오금로53길 32 거여1동주민센터 3층,"토,일,법정공휴일",02-449-8025
1653,거여2동새마을문고(거여2동작은도서관),9,송파구,서울특별시 송파구 거마로2길 19 거여2동주민센터 2층,"매주 토요일,일요일",02-443-7240
1756,경찰병원의학도서실,9,송파구,서울특별시 송파구 송이로 123 경찰병원 본관 2층,"토요일, 일요일, 법정공휴일",02-3400-1126
2516,고려작은도서관,9,송파구,서울특별시 송파구 백제고분로 11길 35 ,"토요일,일요일",
2055,글벗SH작은도서관,9,송파구,서울특별시 송파구 위례순환로 477 위례포레샤인아파트 2302동 1층,"금,토,일요일",02-402-1881
1546,꿈꾸는작은도서관,9,송파구,서울특별시 송파구 동남로 280 성진빌딩 4층,일요일,02-449-5863
1658,꿈이자라는땅작은도서관,9,송파구,서울특별시 송파구 마천로35길 19 비손빌딩 2층 ,매주 월요일,070-7656-5669
1554,누리미좋은물결작은도서관,9,송파구,서울특별시 송파구 성내천로 230 4층,일요일,02-408-2442
1547,다우리작은도서관,9,송파구,서울특별시 송파구 성내천로 100 진미식품 143-6,법정공휴일,02-403-4376
1548,대한체육회작은도서관,9,송파구,서울특별시 송파구 올림픽로 424 올림픽회관 10층,"토요일,일요일",02-2144-8059
2057,더미소작은도서관,9,송파구,서울특별시 송파구 오금로35길 17 오금현대아파트B상가 205,"토,일",02-3401-0691
2096,더믹스만드는작은도서관,9,송파구,서울특별시 송파구 삼전로 38 2층,월요일,
1409,돌마리도서관,9,송파구,서울특별시 송파구 백제고분로 37길 16,매주 월요일 및 법정공휴일,02-414-7007
2056,레미니스SH작은도서관,9,송파구,서울특별시 송파구 성내천로 6 송파레미니스 103-905,"토,일",02-403-5102
2738,마중물작은도서관,9,송파구,서울특별시 송파구 한가람로 478 2층,"토요일,일요일",02-743-4239
627,마천1동새마을문고,9,송파구,서울특별시 송파구 마천로 303 마천1동주민센터 1층 ,"토,일,법정공휴일",02-406-2332
1654,마천2동새마을문고(글수레작은도서관),9,송파구,서울특별시 송파구 마천로 287 마천2동 주민센터 2층,"매주 토요일,일요일",02-430-6880
